Result,Elo,ECO,Opening
1-0,1635,E61,King's Indian Defence
0-1,1315,A01,Nimzo-Larsen Attack
1-0,1313,B22,Sicilian Defence: Alapin Variation
0-1,1491,A43,Benoni Defence: Benoni Gambit Accepted
1-0,1287,C50,Italian Game: Giuoco Pianissimo
0-1,1176,C20,King's Pawn Game: Leonardis Variation
1-0,1891,A41,Old Indian Defence
0-1,1488,B20,Sicilian Defence
0-1,1571,C40,King's Pawn Game: Busch-Gass Gambit
1-0,1459,C57,Italian Game: Two Knights Defence; Knight Attack
1-0,1796,A20,English Opening: King's English Variation
1-0,1896,A41,Old Indian Defence
0-1,1485,A00,Mieses Opening
0-1,1582,B02,Alekhine Defence: Scandinavian Variation
1-0,1896,A40,Englund Gambit
1-0,1482,C00,Queen's Pawn Game: Franco-Sicilian Defence
0-1,1352,C20,King's Pawn Game: Wayward Queen Attack
0-1,1756,B06,Modern Defence
1-0,1430,B00,Caro-Kann Defence: Hillbilly Attack
1-0,1871,D31,Semi-Slav Defence: Accelerated Move Order
1-0,1400,C41,Philidor Defence #3
0-1,1378,C65,Ruy Lopez Defence; Halloween Attack
1-0,1871,D08,Queen's Gambit declined: Albin Countergambit
0-1,1774,C23,Bishop's Opening
1-0,1495,D07,Queen's Gambit declined: Chigorin Defence #3
0-1,1381,B04,Alekhine Defence: Modern Variation; Schmid Variation
0-1,1506,C00,Queen's Pawn Game: Franco-Sicilian Defence
1-0,1645,D10,Slav Defence #2
0-1,1444,B06,Modern Defence
0-1,1581,B45,Sicilian Defence: Paulsen Variation; Normal Variation
1-0,1851,B06,Modern Defence
0-1,1843,A30,English Opening: Symmetrical Variation
0-1,1499,B21,Sicilian Defence: Smith-Morra Gambit #2
1-0,1851,A40,Horwitz Defence
1-0,1516,D20,Queen's Gambit Accepted
1-0,1408,A21,English Opening: King's English Variation
0-1,1413,D00,Queen's Pawn Game #3
1-0,1502,C53,Italian Game: Classical Variation; La Bourdonnais Variation
0-1,1431,B02,Alekhine Defence: Two Pawn Attack
0-1,1554,B01,Scandinavian Defence: Mieses-Kotroc Variation
1-0,1854,C00,Queen's Pawn Game: Franco-Sicilian Defence
0-1,1395,B00,Caro-Kann Defence: Hillbilly Attack
0-1,1189,C20,King's Pawn Game: Leonardis Variation
0-1,1434,D02,Queen's Pawn Game: Zukertort Variation
0-1,1525,D20,Queen's Gambit Accepted
0-1,1878,A40,Queen's Pawn
0-1,1757,B10,Caro-Kann Defence
1-0,1657,D10,Slav Defence #2
0-1,1435,B00,Borg Defence
1/2-1/2,1614,B02,Alekhine Defence: Scandinavian Variation
1-0,1867,B40,Sicilian Defence: French Variation
0-1,1516,C34,King's Gambit Accepted; King's Knight Gambit
1-0,1358,C40,King's Pawn Game: Damiano Defence
1-0,1719,A04,Zukertort Opening: Queen's Gambit Invitation
0-1,1334,C42,Russian Game: Three Knights Game
1-0,1808,D30,Queen's Gambit Declined
0-1,1568,C11,French Defence: Classical Variation
0-1,1433,B06,Modern Defence
1-0,1826,D31,Queen's Gambit Declined: Queen's Knight Variation
0-1,1443,D00,Queen's Pawn Game: Mason Attack
1-0,1363,B02,Alekhine Defence: Maroczy Variation
0-1,1411,C50,Italian Game: Giuoco Pianissimo
0-1,1864,A43,Franco-Benoni Defence
1-0,1505,C34,King's Gambit Accepted; Schallopp Defence
0-1,1500,B23,Sicilian Defence: Closed Variation
1-0,1858,D31,Queen's Gambit Declined: Queen's Knight Variation
1-0,1395,C20,King's Pawn Game: King's Head Opening #2
0-1,1694,D02,Queen's Pawn Game: Krause Variation
0-1,1500,B01,Scandinavian Defence
0-1,1893,A06,Zukertort Opening: Tennison Gambit
0-1,1467,B02,Alekhine Defence: Scandinavian Variation
1-0,1378,C00,French Defence: Steinitz Attack
0-1,1522,B20,Sicilian Defence: Bowdler Attack
0-1,1394,B22,Sicilian Defence: Alapin Variation
1-0,1658,D02,Queen's Pawn Game: Symmetrical Variation
1-0,1658,A40,Queen's Pawn
1-0,1430,A04,Zukertort Opening: Queen's Gambit Invitation
0-1,1471,B20,Sicilian Defence
1-0,1515,B06,Modern Defence
0-1,1572,A25,English Opening: King's English Variation; Reversed Closed Sicilian
1-0,1516,E61,King's Indian Defence
1-0,1874,B40,Sicilian Defence: Smith-Morra Gambit Deferred
0-1,1750,C41,Philidor Defence #4
1-0,1820,C10,French Defence: Rubinstein Variation
0-1,1699,A40,Horwitz Defence
1-0,1389,C44,Scotch Game: Scotch Gambit; Dubois Reti Defence
1-0,1337,C48,Four Knights Game: Spanish Variation
1-0,1858,A00,Mieses Opening: Reversed Rat
0-1,1689,B27,Sicilian Defence: Katalimov Variation
1-0,1838,C45,Scotch Game: Haxo Gambit
0-1,1381,B20,Sicilian Defence
0-1,1873,C00,Queen's Pawn Game: Franco-Sicilian Defence
0-1,1872,E20,Nimzo-Indian Defence #2
0-1,1433,C50,Four Knights Game: Italian Variation
1-0,1675,A80,Dutch Defence
0-1,1862,B40,Sicilian Defence: Marshall Counterattack
0-1,1535,B40,Sicilian Defence: Delayed Alapin Variation
1-0,1480,B01,Scandinavian Defence
0-1,1531,B40,Sicilian Defence: Delayed Alapin Variation
0-1,1359,B00,Owen Defence
1-0,1897,A43,Old Benoni Defence
0-1,1644,D00,Queen's Pawn Opening: Veresov Attack; Irish Gambit
0-1,1528,B40,Sicilian Defence: Delayed Alapin Variation
0-1,1516,B27,Sicilian Defence: Katalimov Variation
0-1,1900,D15,Slav Defence: Two Knights Attack
0-1,1550,B40,Sicilian Defence: Delayed Alapin Variation
1-0,1903,E21,Nimzo-Indian Defence: Three Knights Variation
0-1,1668,D31,Semi-Slav Defence: Accelerated Move Order
1-0,1843,B21,Sicilian Defence: Morphy Gambit
1/2-1/2,1321,B00,Owen Defence
1-0,1055,D00,Queen's Pawn Game: Levitsky Attack
1-0,1853,B23,Sicilian Defence: Closed
0-1,1332,C00,French Defence: Steinitz Attack
0-1,1715,D00,Queen's Pawn Game
1-0,1891,E20,Nimzo-Indian Defence #2
0-1,1855,B40,Sicilian Defence: Smith-Morra Gambit Deferred
1-0,1485,B01,Scandinavian Defence
1-0,1585,B01,Scandinavian Defence: Main Line
0-1,1680,B30,Sicilian Defence: Old Sicilian
1-0,1672,B02,Alekhine Defence: Two Pawn Attack; Lasker Variation
1-0,1734,C41,Philidor Defence #3
1-0,1914,E20,Nimzo-Indian Defence #2
1-0,1784,B27,Sicilian Defence: Katalimov Variation
1-0,1846,B40,Sicilian Defence: Marshall Counterattack
1-0,1651,D31,Semi-Slav Defence: Accelerated Move Order
0-1,1899,E20,Nimzo-Indian Defence #2
1-0,1726,C41,Philidor Defence #3
1-0,1102,D00,Queen's Pawn Game: Levitsky Attack; Welling Variation
1-0,1870,B40,Sicilian Defence: Marshall Counterattack
1-0,1796,C00,French Defence: La Bourdonnais Variation
1-0,1885,E20,Nimzo-Indian Defence #2
0-1,1762,B01,Scandinavian Defence: Main Line
1-0,1823,B07,Rat Defence: Antal Defence
1-0,1881,B40,Sicilian Defence: French Variation
0-1,1254,C20,King's Pawn Game: Wayward Queen Attack
0-1,1723,A21,English Opening: King's English Variation; Reversed Sicilian
0-1,1415,B20,Sicilian Defence: Bowdler Attack
0-1,1861,E61,King's Indian Defence
0-1,1194,A00,Van't Kruijs Opening
1-0,1121,A41,Queen's Pawn
1-0,1802,C36,King's Gambit Accepted; Modern Defence
1-0,1672,A00,Hungarian Opening
1-0,1672,A40,Englund Gambit Declined; Reversed French
0-1,1812,A46,Torre Attack #2
1-0,1558,C23,Bishop's Opening: Philidor Counterattack
1-0,1571,C53,Italian Game: Classical Variation; Giuoco Pianissimo
0-1,1191,A00,Van't Kruijs Opening
0-1,1634,B07,Pirc Defence #4
0-1,1814,B56,Sicilian Defence: Classical Variation
0-1,1389,D00,Queen's Pawn Opening: Veresov; Richter Attack
0-1,1401,D00,Queen's Pawn Game: Mason Attack
1-0,1584,B84,Sicilian Defence: Scheveningen Variation; Classical Variation
0-1,1624,B40,Sicilian Defence: Marshall Counterattack
0-1,1680,A00,Saragossa Opening
1-0,1564,B34,Sicilian Defence: Accelerated Dragon; Modern Variation
1-0,1724,C40,Latvian Gambit Accepted
0-1,1514,C50,Four Knights Game: Italian Variation
0-1,1361,B01,Scandinavian Defence: Modern Variation #2
0-1,2041,D32,Tarrasch Defence: Two Knights Variation
1/2-1/2,1602,B84,Sicilian Defence: Scheveningen Variation; Classical Variation
0-1,1855,E21,Nimzo-Indian Defence: Three Knights Variation
1-0,1041,C46,Three Knights Opening: Steinitz Defence
0-1,1552,C00,French Defence: Knight Variation
1-0,1456,D01,Queen's Pawn Game: Chigorin Variation
0-1,1699,D15,Slav Defence: Alekhine Variation
1-0,1732,B02,Alekhine Defence: Scandinavian Variation
1-0,1402,B01,Scandinavian Defence: Mieses-Kotroc Variation
1-0,1404,B01,Scandinavian Defence
1-0,2048,A43,Old Benoni Defence #2
1-0,1738,D20,Queen's Gambit Accepted: Saduleto Variation
1-0,1992,B01,Scandinavian Defence
0-1,1513,D00,Queen's Pawn Game: Mason Attack
0-1,1843,A56,Benoni Defence
1-0,2061,A04,Zukertort Opening: Sicilian Invitation
0-1,1837,A56,Benoni Defence
0-1,1371,B02,Alekhine Defence: Normal Variation
1-0,2003,B01,Scandinavian Defence: Blackburne-Kloosterboer Gambit
1-0,2067,A65,Benoni Defence: King's Pawn Line
1-0,1502,C62,Ruy Lopez: Steinitz Defence
0-1,1832,A56,Benoni Defence
1-0,1675,A03,Bird Opening: Dutch Variation
0-1,1835,C00,French Defence: La Bourdonnais Variation
1-0,1477,B02,Alekhine Defence
0-1,1827,E20,Nimzo-Indian Defence #2
0-1,1419,C42,Russian Game: Damiano Variation
1-0,1599,B00,Owen Defence
1/2-1/2,1416,C41,Philidor Defence #2
1-0,1599,B01,Scandinavian Defence: Mieses-Kotroc Variation
0-1,1906,D02,Queen's Pawn Game: Chigorin Variation
0-1,1277,D02,Queen's Pawn Game: Zukertort Variation
0-1,1990,B20,Sicilian Defence: Wing Gambit
1-0,1504,D00,Queen's Pawn Game #3
0-1,1818,A43,Old Benoni Defence
0-1,1607,C53,Italian Game: Classical Variation; Giuoco Pianissimo
1-0,1717,A03,Bird Opening: Dutch Variation
0-1,1264,C00,French Defence: Normal Variation
1-0,1813,A43,Old Benoni Defence
1-0,1408,C21,King's Pawn Game: Beyer Gambit
0-1,1557,A04,Zukertort Opening: Sicilian Invitation
0-1,1665,A40,Horwitz Defence
0-1,1422,B00,Owen Defence
1-0,2056,A21,English Opening: King's English Variation
1-0,1447,C20,King's Pawn Game: Wayward Queen Attack
0-1,1981,C15,French Defence: Winawer Variation; Winckelmann-Riemer Gambit
1-0,1833,A51,Indian Game: Budapest Defence
0-1,1410,D00,Queen's Pawn Game #3
0-1,1552,A04,Zukertort Opening: Sicilian Invitation
1-0,2059,A00,Hungarian Opening
1-0,1479,A01,Nimzo-Larsen Attack: Classical Variation
1-0,1466,C20,King's Pawn Game: Wayward Queen Attack
1-0,1479,C44,Scotch Game
0-1,1539,E60,King's Indian Defence: Normal Variation; King's Knight Variation
0-1,1679,B30,Sicilian Defence: Old Sicilian
1-0,2125,A04,Zukertort Opening: Black Mustang Defence
1-0,1945,B02,Alekhine Defence: Two Pawn Attack
0-1,1665,D30,Queen's Gambit Declined: Traditional Variation
1-0,1629,A01,Nimzo-Larsen Attack: Classical Variation
1-0,1843,B06,Modern Defence
0-1,1409,B01,Scandinavian Defence
1-0,1644,A09,Reti Opening: Reti Accepted
0-1,1823,C50,Italian Game: Giuoco Pianissimo; Normal
1-0,1608,B06,Modern Defence
0-1,1644,A13,English Opening: Agincourt Defence #3
0-1,1357,C02,French Defence: Advance Variation #3
1-0,1590,C41,Philidor Defence #3
1-0,1997,C60,Ruy Lopez: Nuernberg Variation
0-1,1449,D06,Queen's Gambit declined: Marshall Defence
0-1,1558,C02,French Defence: Advance Variation; Nimzowitsch System
0-1,1617,C53,Italian Game: Classical Variation; La Bourdonnais Variation
1-0,1804,E46,Nimzo-Indian Defence: Normal Variation
0-1,1331,C00,French Defence: Knight Variation
1-0,1759,A09,Reti Opening: Reti Accepted
0-1,1565,C50,Italian Game: Giuoco Pianissimo; Normal
1-0,1365,B01,Scandinavian Defence
0-1,1598,C53,Italian Game: Classical Variation; La Bourdonnais Variation
0-1,1407,A00,Van Geet Opening
0-1,1577,C50,Italian Game: Giuoco Pianissimo; Italian Four Knights Variation
0-1,1329,B02,Alekhine Defence: Maroczy Variation
0-1,1596,C62,Ruy Lopez: Steinitz Defence
1-0,1566,C53,Italian Game: Classical Variation; Giuoco Pianissimo
1-0,1383,B01,Scandinavian Defence
1-0,1968,C89,Ruy Lopez: Marshall Attack; Steiner Variation
1-0,1403,C23,Bishop's Opening
1-0,1580,C53,Italian Game: Classical Variation; La Bourdonnais Variation
1-0,1683,A03,Bird Opening: Dutch Variation
0-1,1679,C33,King's Gambit Accepted; Stamma Gambit
1-0,1519,A43,Old Benoni Defence
1-0,1400,C21,Danish Gambit
1-0,1669,A00,Mieses Opening
1-0,1837,D07,Queen's Gambit declined: Chigorin Defence; Janowski Variation
0-1,1567,C50,Italian Game: Giuoco Pianissimo; Normal
1-0,1669,A00,Van't Kruijs Opening
0-1,1367,A00,Van't Kruijs Opening
0-1,1326,C45,Scotch Game
0-1,1526,C01,French Defence: Exchange Variation
1-0,1608,C53,Italian Game: Classical Variation; La Bourdonnais Variation
1-0,1670,B21,Sicilian Defence: McDonnell Attack
1-0,1844,D10,Slav Defence #3
1-0,1068,C22,Center Game: Normal Variation
0-1,1533,B21,Sicilian Defence: Smith-Morra Gambit
1-0,1674,A00,Hungarian Opening
0-1,1546,C50,Italian Game: Giuoco Pianissimo; Normal
0-1,1681,B30,Sicilian Defence: Old Sicilian
1/2-1/2,1487,C20,Bishop's Opening: Boi Variation
1-0,1531,A40,Englund Gambit Complex: Soller Gambit
0-1,1850,D07,Queen's Gambit declined: Chigorin Defence; Janowski Variation
0-1,1500,A04,Zukertort Opening: Queen's Gambit Invitation
1-0,1631,C53,Italian Game: Classical Variation; La Bourdonnais Variation
0-1,1680,B21,Sicilian Defence: McDonnell Attack
1-0,1664,A03,Bird Opening: Dutch Variation
0-1,1604,C55,Italian Game: Anti-Fried Liver Defence
1-0,1241,B01,Scandinavian Defence: Gubinsky-Melts Defence
1-0,1679,A00,Van't Kruijs Opening
0-1,1529,B00,Nimzowitsch Defence: Kennedy Variation; Linksspringer Variation
1-0,1537,A00,Hungarian Opening
0-1,1840,D07,Queen's Gambit declined: Chigorin Defence; Janowski Variation
0-1,1406,A00,Mieses Opening
1-0,1460,D00,Queen's Pawn Game #2
1-0,1690,B20,Sicilian Defence
1-0,1822,D20,Queen's Gambit Accepted
1-0,1729,C02,French Defence: Advance Variation
1-0,1500,B01,Scandinavian Defence: Mieses-Kotroc Variation
1-0,1683,B21,Sicilian Defence: McDonnell Attack
1-0,1786,C02,French Defence: Advance Variation #2
1-0,1685,A00,Saragossa Opening
1-0,1791,A85,Dutch Defence: Queen's Knight Variation
1-0,1400,A40,Englund Gambit
1-0,2154,C02,French Defence: Advance Variation; Main Line
0-1,1689,B20,Sicilian Defence: Bowdler Attack
1-0,1893,C41,Philidor Defence: Morphy Gambit
1-0,1568,A06,Zukertort Opening: Reversed Mexican Defence
0-1,1914,C60,Ruy Lopez
1-0,1470,C41,Philidor Defence #2
1-0,1808,D15,Slav Defence: Two Knights Attack
0-1,1649,D31,Queen's Gambit Declined: Queen's Knight Variation
1-0,1867,C68,Ruy Lopez: Exchange Variation
1-0,1483,C20,King's Pawn Game: Wayward Queen Attack
1-0,1482,D01,Queen's Pawn Game: Chigorin Variation
1/2-1/2,1674,B20,Sicilian Defence: Bowdler Attack
1-0,1853,A43,Franco-Benoni Defence
0-1,1579,C30,King's Gambit Declined; Keene Defence
0-1,1486,C00,French Defence: Queen's Knight
1-0,1811,A85,Dutch Defence: Queen's Knight Variation
1-0,2157,C62,Ruy Lopez: Steinitz Defence
1-0,1671,B22,Sicilian Defence: Alapin Variation
0-1,1511,C00,French Defence #2
0-1,1323,C45,Scotch Game: Malaniuk Variation
0-1,1808,D85,Gruenfeld Defence: Exchange Variation
0-1,1646,B56,Sicilian Defence: Classical Variation
1-0,1798,C20,English Opening: The Whale
1-0,1802,D43,Semi-Slav Defence
1-0,1690,A00,Gedult's Opening
1-0,1687,B20,Sicilian Defence
1-0,1615,A41,Old Indian Defence
0-1,1568,A06,Zukertort Opening: Tennison Gambit
1-0,1810,D10,Slav Defence #3
1-0,1540,A00,Van Geet Opening: Reversed Nimzowitsch
0-1,1719,C00,French Defence: Steiner Variation
1-0,1423,C50,Italian Game: Giuoco Pianissimo; Normal
1-0,1747,A40,Englund Gambit
0-1,1500,A00,Gedult's Opening
0-1,1693,B20,Sicilian Defence
0-1,2160,B01,Scandinavian Defence: Main Line
1-0,1573,B01,Scandinavian Defence: Mieses-Kotroc Variation
1-0,1698,A00,Saragossa Opening
1-0,1902,B52,Sicilian Defence: Canal Attack; Main Line
1-0,1537,D00,Queen's Pawn Game: Mason Attack
0-1,1686,B20,Sicilian Defence
0-1,1493,C00,French Defence #2
1-0,1496,D00,Queen's Pawn Game #2
1-0,1833,D07,Queen's Gambit declined: Chigorin Defence; Janowski Variation
1-0,1671,A03,Bird Opening: Dutch Variation
0-1,1410,C02,French Defence: Advance Variation; Nimzowitsch System
0-1,1712,C00,French Defence #2
1-0,2063,D00,Queen's Pawn Game #2
1-0,1720,C23,Bishop's Opening
0-1,1437,D20,Queen's Gambit Accepted
1-0,1673,B20,Sicilian Defence
1-0,1839,D43,Semi-Slav Defence
1-0,1341,A00,Mieses Opening: Reversed Rat
0-1,1923,B04,Alekhine Defence: Modern Variation; Alburt Variation
0-1,1666,B20,Sicilian Defence
1-0,1552,D00,Queen's Pawn Game: Mason Attack
1-0,2105,C74,Ruy Lopez: Morphy Defence; Modern Steinitz Defence
1-0,1489,B21,Sicilian Defence: Smith-Morra Gambit #2
1-0,1434,B01,Scandinavian Defence: Mieses-Kotroc Variation
1-0,1907,C50,Four Knights Game: Italian Variation
1-0,1376,C24,Bishop's Opening: Berlin Defence
1-0,1852,D44,Semi-Slav Defence: Anti-Moscow Gambit
0-1,1696,A01,Nimzo-Larsen Attack
1-0,1604,A00,Polish Opening
1-0,1925,C00,French Defence: Knight Variation
0-1,1655,B20,Sicilian Defence
0-1,1395,C41,Philidor Defence #3
1-0,2108,E04,Catalan Opening: Open Defence
1-0,1863,D10,Slav Defence #3
0-1,1660,B21,Sicilian Defence: McDonnell Attack
1-0,1619,D02,Queen's Pawn Game: Symmetrical Variation
0-1,1424,C33,King's Gambit Accepted; Bishop's Gambit; Bogoljubov Variation
1/2-1/2,1644,B21,Sicilian Defence: McDonnell Attack
1-0,1395,C02,French Defence: Advance Variation
1-0,1785,C41,Philidor Defence: Exchange Variation
1-0,1392,B20,Sicilian Defence: Bowdler Attack
1-0,1862,D43,Semi-Slav Defence
1-0,1908,C20,King's Pawn Game
0-1,1402,C24,Bishop's Opening: Berlin Defence
1-0,1705,A00,Saragossa Opening
0-1,1888,C63,Ruy Lopez: Schliemann Defence; Exchange Variation
1-0,1645,B21,Sicilian Defence: McDonnell Attack
0-1,1931,C47,Four Knights Game: Italian Variation; Noa Gambit
0-1,1705,A00,Van't Kruijs Opening
1-0,1716,A01,Nimzo-Larsen Attack
0-1,1504,C20,King's Pawn Game
1-0,1849,A85,Dutch Defence: Queen's Knight Variation
1-0,1726,A00,Hungarian Opening
0-1,1716,A00,Saragossa Opening
1-0,1671,D26,Queen's Gambit Accepted: Normal Variation; Traditional System
0-1,1657,B21,Sicilian Defence: McDonnell Attack
0-1,1726,A00,Van't Kruijs Opening
0-1,1489,C44,King's Knight Opening: Normal Variation
0-1,1642,D02,Queen's Pawn Game: Chigorin Variation
0-1,1859,B00,Ware Defence
1-0,1861,D10,Slav Defence #2
0-1,1714,A40,Englund Gambit Declined; Reversed French
1-0,1708,E61,King's Indian Defence
0-1,1809,C40,Latvian Gambit: Greco Variation
0-1,1542,A45,Indian Game
1-0,1866,D44,Semi-Slav Defence: Botvinnik Variation
1-0,1807,B02,Alekhine Defence: Two Pawn Attack
1-0,1746,A42,Modern Defence: Averbakh System; Kotov Variation
1-0,1616,A40,Horwitz Defence
1-0,1798,C36,King's Gambit Accepted; Modern Defence
1-0,2096,B98,Sicilian Defence: Najdorf Variation
0-1,1572,B07,Pirc Defence #5
0-1,1420,C41,Philidor Defence #3
0-1,2062,A09,Reti Opening: Advance Variation
1-0,1509,D00,Queen's Pawn Game: Chigorin Variation
1-0,1702,A52,Budapest Defence: Adler Variation
1-0,1488,C20,King's Pawn Game: Wayward Queen Attack
0-1,1721,B12,Caro-Kann Defence: Advance Variation; Short Variation
